WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '5539', 'Time': 8609, 'Cycle': '1f1e503344', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '6568', 'Time': 12524, 'Cycle': '1f1e521123', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::Handled!: current-state STATE_PREEMPT, event-type THCONDVAR, event {'Event': '7305', 'Time': 15004, 'Cycle': '1f1e533fdb', 'CPU': 4, 'Class': 'THREAD', 'Type': 'THCONDVAR', 'Param': {'pid': '1130577', 'tid': '7', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '7492', 'Time': 15624, 'Cycle': '1f1e538b86', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '7603', 'Time': 15981, 'Cycle': '1f1e53b72d', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '7769', 'Time': 16554, 'Cycle': '1f1e53fd16', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '7876', 'Time': 16951, 'Cycle': '1f1e542d87', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '8617', 'Time': 19670, 'Cycle': '1f1e557971', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '8943', 'Time': 20830, 'Cycle': '1f1e560724', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '9424', 'Time': 22650, 'Cycle': '1f1e56e542', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '9801', 'Time': 23892, 'Cycle': '1f1e577ce6', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '10277', 'Time': 25542, 'Cycle': '1f1e584652', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '10415', 'Time': 26069, 'Cycle': '1f1e5886a2', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '10547', 'Time': 26539, 'Cycle': '1f1e58c001', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '13553', 'Time': 37361, 'Cycle': '1f1e5de913', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '14766', 'Time': 41546, 'Cycle': '1f1e5fe7e5', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::Handled!: current-state STATE_PREEMPT, event-type THCONDVAR, event {'Event': '16550', 'Time': 47622, 'Cycle': '1f1e62cd8c', 'CPU': 3, 'Class': 'THREAD', 'Type': 'THCONDVAR', 'Param': {'pid': '1130577', 'tid': '7', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '16611', 'Time': 47849, 'Cycle': '1f1e62e94c', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '17541', 'Time': 51365, 'Cycle': '1f1e649685', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
WARNING:state_transition::ignored: current-state STATE_PREEMPT, event-type THREADY, event {'Event': '18475', 'Time': 54591, 'Cycle': '1f1e66203e', 'CPU': 6, 'Class': 'THREAD', 'Type': 'THREADY', 'Param': {'pid': '8212', 'tid': '2', 'priority': -1, 'policy': -1, 'partition': -1, 'sched_flags': '0x10000000'}}
