GTID,PID,TID,JOBS,IGNORED_JOBS,EVENTS,IGNORED_EVENTS,TNAME,PNAME,READY_CYCLE_TRANS,RUNNING_CYCLE_TRANS
1_1,1,1,0,0,0,5337,idle,proc/boot/procnto-smp-instr-safety,0,427
1_2,1,2,0,0,0,641,idle,proc/boot/procnto-smp-instr-safety,0,59
1_3,1,3,0,0,0,12220,idle,proc/boot/procnto-smp-instr-safety,0,1386
1_4,1,4,0,0,0,10029,idle,proc/boot/procnto-smp-instr-safety,0,1981
1_5,1,5,0,0,0,46,idle,proc/boot/procnto-smp-instr-safety,0,0
1_6,1,6,0,0,0,55,idle,proc/boot/procnto-smp-instr-safety,0,1
1_7,1,7,0,0,0,2457,idle,proc/boot/procnto-smp-instr-safety,0,1
1_8,1,8,2585,0,0,9906,None_8,proc/boot/procnto-smp-instr-safety,0,200
1_9,1,9,0,0,0,2,pageout,proc/boot/procnto-smp-instr-safety,0,0
1_10,1,10,0,0,0,2,pageio/GET,proc/boot/procnto-smp-instr-safety,0,0
1_11,1,11,0,0,0,2,pageio/PUT,proc/boot/procnto-smp-instr-safety,0,0
1_12,1,12,0,0,0,2,fault_pulse_handler,proc/boot/procnto-smp-instr-safety,0,0
1_13,1,13,1012,0,0,3932,None_13,proc/boot/procnto-smp-instr-safety,0,98
1_17,1,17,1501,0,0,5957,None_17,proc/boot/procnto-smp-instr-safety,0,124
1_18,1,18,3093,0,0,11382,None_18,proc/boot/procnto-smp-instr-safety,0,173
1_19,1,19,0,0,0,1,None_19,proc/boot/procnto-smp-instr-safety,0,0
1_20,1,20,852,0,0,3131,None_20,proc/boot/procnto-smp-instr-safety,0,42
1_21,1,21,3310,0,0,12206,None_21,proc/boot/procnto-smp-instr-safety,0,216
1_23,1,23,0,0,0,1,None_23,proc/boot/procnto-smp-instr-safety,0,0
1_24,1,24,0,0,0,1,None_24,proc/boot/procnto-smp-instr-safety,0,0
1_26,1,26,1876,0,0,7117,None_26,proc/boot/procnto-smp-instr-safety,0,134
1_27,1,27,3,0,0,13,None_27,proc/boot/procnto-smp-instr-safety,0,0
2_1,2,1,64,0,0,197,None_1,proc/boot/slogger2,0,2
3_1,3,1,0,0,0,1,None_1,proc/boot/nvdt_init,0,0
4100_1,4100,1,0,0,0,1,None_1,proc/boot/io-nvbootprofiler,0,0
4101_1,4101,1,0,0,0,1,None_1,proc/boot/pipe,0,0
4101_2,4101,2,0,0,0,1,None_2,proc/boot/pipe,0,0
4101_3,4101,3,68,0,0,163,None_3,proc/boot/pipe,0,1
4101_5,4101,5,0,0,0,1,None_5,proc/boot/pipe,0,0
4101_6,4101,6,59,0,0,149,None_6,proc/boot/pipe,0,1
1318918_1,1318918,1,3,0,0,9,None_1,opt/csp/bin/csp_signal_database_service,0,0
